    i,    t(s),    U(V),    I(A),   Vd+,   Vd-
  420,    1268,  5.1893,  0.0056, 0.872, 0.872
  421,    1271,  5.1878,  0.0056, 0.872, 0.872
  422,    1274,  5.1901,  0.0056, 0.872, 0.872
  423,    1277,  5.1871,  0.0056, 0.872, 0.872
  424,    1280,  5.1893,  0.0056, 0.872, 0.872
  425,    1283,  5.1868,  0.0056, 0.871, 0.872
  426,    1286,  5.1871,  0.0056, 0.872, 0.872
  427,    1289,  5.1888,  0.0056, 0.872, 0.872
  428,    1292,  5.1914,  0.0056, 0.872, 0.872
  429,    1295,  5.1883,  0.0056, 0.872, 0.872
  430,    1298,  5.1901,  0.0056, 0.872, 0.872
  431,    1301,  5.1878,  0.0056, 0.872, 0.872
  432,    1304,  5.1878,  0.0056, 0.872, 0.872
  433,    1307,  5.1881,  0.0056, 0.872, 0.872
  434,    1310,  5.1866,  0.0056, 0.872, 0.872
  435,    1313,  5.1878,  0.0056, 0.872, 0.872
  436,    1316,  5.1858,  0.0056, 0.872, 0.872
  437,    1319,  5.1868,  0.0056, 0.872, 0.872
  438,    1322,  5.1858,  0.0056, 0.872, 0.872
  439,    1325,  5.1876,  0.0056, 0.872, 0.872
  440,    1328,  5.1861,  0.0056, 0.872, 0.872
  441,    1331,  5.1888,  0.0056, 0.872, 0.872
  442,    1334,  5.1876,  0.0056, 0.872, 0.872
  443,    1337,  5.1881,  0.0056, 0.872, 0.872
  444,    1340,  5.1878,  0.0056, 0.872, 0.872
  445,    1343,  5.1883,  0.0056, 0.872, 0.872
  446,    1346,  5.1863,  0.0056, 0.872, 0.872
  447,    1349,  5.1878,  0.0056, 0.872, 0.872
  448,    1352,  5.1873,  0.0056, 0.872, 0.872
  449,    1355,  5.1888,  0.0056, 0.872, 0.872
  450,    1358,  5.1873,  0.0056, 0.872, 0.872
  451,    1361,  5.1876,  0.0056, 0.872, 0.872
  452,    1364,  5.1835,  0.0056, 0.872, 0.872
  453,    1367,  5.1896,  0.0056, 0.872, 0.872
  454,    1370,  5.1873,  0.0056, 0.872, 0.872
  455,    1373,  5.1901,  0.0056, 0.872, 0.872
  456,    1376,  5.1871,  0.0056, 0.872, 0.872
  457,    1379,  5.1883,  0.0056, 0.872, 0.872
  458,    1382,  5.1886,  0.0056, 0.872, 0.872
  459,    1385,  5.1871,  0.0056, 0.872, 0.872
  460,    1388,  5.1858,  0.0056, 0.872, 0.872
  461,    1391,  5.1856,  0.0056, 0.872, 0.873
  462,    1394,  5.1873,  0.0056, 0.872, 0.872
  463,    1397,  5.1866,  0.0056, 0.872, 0.873
  464,    1400,  5.1868,  0.0056, 0.872, 0.872
  465,    1403,  5.1861,  0.0056, 0.872, 0.872
  466,    1406,  5.1881,  0.0056, 0.872, 0.872
  467,    1409,  5.1881,  0.0056, 0.872, 0.872
  468,    1412,  5.1856,  0.0056, 0.872, 0.872
  469,    1415,  5.1858,  0.0056, 0.873, 0.872
  470,    1418,  5.1903,  0.0056, 0.872, 0.872
  471,    1421,  5.1866,  0.0056, 0.872, 0.872
  472,    1424,  5.1886,  0.0056, 0.872, 0.872
  473,    1427,  5.1876,  0.0056, 0.872, 0.872
  474,    1430,  5.1881,  0.0056, 0.872, 0.872
  475,    1433,  5.1851,  0.0056, 0.872, 0.872
  476,    1436,  5.1866,  0.0056, 0.872, 0.872
  477,    1439,  5.1863,  0.0056, 0.872, 0.872
  478,    1442,  5.1903,  0.0056, 0.872, 0.872
  479,    1445,  5.1878,  0.0056, 0.872, 0.872
  480,    1448,  5.1893,  0.0056, 0.872, 0.872
  481,    1451,  5.1868,  0.0056, 0.873, 0.872
  482,    1454,  5.1883,  0.0056, 0.873, 0.873
  483,    1457,  5.1868,  0.0056, 0.872, 0.873
  484,    1460,  5.1851,  0.0056, 0.872, 0.873
  485,    1463,  5.1871,  0.0056, 0.873, 0.872
  486,    1466,  5.1851,  0.0056, 0.872, 0.873
